# Ideographic Description Sequences (IDS) for CJK Unified Ideographs Extension J
# Supplement to BabelStone IDS.TXT <https://babelstone.co.uk/CJK/IDS.TXT>, whose last release covers
#	Unicode 16.0 and stops at U+323AF; this file covers the block the former does not.
# File Encoding: UTF-8 with BOM and CR/LF
# Unicode Version: 17.0 (September 2025)
# Total entries: 4,298
#
# The format, the component conventions (sections 5 to 9) and the numbered unencoded components ({n}) are
#	those of IDS.TXT; see its header.
#
# Sources:
#	The IDS column of the IRG Working Set 2021 (v7.0) review database <https://hc.jsecs.org/irg/ws2021/app/>,
#	from which Extension J was encoded, mapped to code points through the kIRG_*Source references of Unihan,
#	normalized to the IDS.TXT conventions, and checked character by character against the source glyphs of
#	the Unicode code charts. Source letters are those of IDS.TXT section 8.
#
# Kang Seonghoon is the sole author of this database and waives all rights to it as per IDS.TXT.
# Claude Opus 5.5 was used to semi-automatically prepare this database.
#
# CJK Unified Ideographs Extension J (4,298 characters)
# 4,298 characters added in Unicode version 17.0 (September 2025)
U+323B0	𲎰	^⿻丅𠃍$(U)
U+325D5	𲗕	^⿰呌高$(V)
U+325D6	𲗖	^⿰口遜$(B)
U+325D7	𲗗	^⿰口鴉$(GB)
U+325D8	𲗘	^⿰口標$(B)
U+325D9	𲗙	^⿰口熱$(B)
U+325DA	𲗚	^⿰口霆$(B)
U+325DB	𲗛	^⿰口𤮃$(V)
U+325DC	𲗜	^⿰口𤭹$(V)
U+325DD	𲗝	^⿰唇枚$(V)
U+325DE	𲗞	^⿰口𩒛$(S)
U+325DF	𲗟	^⿰口暮$(B)
U+325E0	𲗠	^⿰口蔴$(B)
U+325E1	𲗡	^⿰口⿱焦寸$(S)
U+325E2	𲗢	^⿱𦥯古$(T)
U+325E3	𲗣	^⿰口寮$(T)
U+325E4	𲗤	^⿰口複$(B)
U+325E5	𲗥	^⿰口課$(V)
U+325E6	𲗦	^⿰口慰$(T)
U+325E7	𲗧	^⿰口𦂥$(U)
U+325E8	𲗨	^⿰喜夋$(K)
U+325E9	𲗩	^⿰口擔$(B)
U+325EA	𲗪	^⿰口頭$(B)
U+325EB	𲗫	^⿰口翰$(B)
U+325EC	𲗬	^⿰口操$(V)
U+325ED	𲗭	^⿰口瓢$(V)
U+325EE	𲗮	^⿰喜芒$(V)
U+325EF	𲗯	^⿰口蕉$(TU)
U+325F0	𲗰	^⿰口嶶$(T)
U+325F1	𲗱	^⿰口蕭$(T)
U+325F2	𲗲	^⿰口瞢$(B)
U+325F3	𲗳	^⿱雔口$(T)
U+325F4	𲗴	^⿰口穆$(B)
U+325F5	𲗵	^⿰口獨$(B)
U+325F6	𲗶	^⿱語叱$(K)
U+325F7	𲗷	^⿰口營$(B)
U+325F8	𲗸	^⿰口諾$(B)
U+325F9	𲗹	^⿰口⿰訁美$(V)
U+325FA	𲗺	^⿰口⿸尸萬$(T)
U+325FB	𲗻	^⿰口壁$(UB)
U+325FC	𲗼	^⿰口⿰⿱厶羊昌$(B)
U+325FD	𲗽	^⿰口壐$(T)
U+325FE	𲗾	^⿰口壓$(B)
U+325FF	𲗿	^⿰口韓$(B)
U+32600	𲘀	^⿰口駼$(V)
U+32601	𲘁	^⿰口闊$(T)
U+32602	𲘂	^⿰口虧$(V)
U+32603	𲘃	^⿰口獲$(GB)
U+32604	𲘄	^⿸广⿱黃叱$(K)
U+32605	𲘅	^⿰口糞$(T)
U+32606	𲘆	^⿰口謝$(B)
U+32607	𲘇	^⿰口糜$(TB)
U+32608	𲘈	^⿰口孻$(B)
U+32609	𲘉	^⿰口𪁪$(GB)
U+3260A	𲘊	^⿰口壘$(B)
U+3260B	𲘋	^⿰口顕$(V)
U+3260C	𲘌	^⿰口𧀒$(V)
U+3260D	𲘍	^⿰口醮$(V)
U+3260E	𲘎	^⿰口瓊$(V)
U+3260F	𲘏	^⿱興同$(B)
U+32610	𲘐	^⿰口識$(V)
U+32611	𲘑	^⿰口顙$(V)
U+32612	𲘒	^⿰口飄$(V)
U+32613	𲘓	^⿰口蘓$(B)
U+32614	𲘔	^⿰口覺$(G)
U+32615	𲘕	^⿰口霹$(B)
U+32616	𲘖	^⿱羅叱$(K)
U+32617	𲘗	^⿰口護$(B)
U+32618	𲘘	^⿰口彎$(B)
U+32619	𲘙	^⿰口驚$(B)
U+3261A	𲘚	^⿰口𫊗$(B)
U+3261B	𲘛	^⿰口靈$(B)
U+3261C	𲘜	^⿰口廳$(T)
U+3261D	𲘝	^⿰口鑾$(U)
U+3261E	𲘞	^⿴〇乙$(S)
U+3261F	𲘟	^⿱丿囚$(S)
U+32620	𲘠	^⿴囗旡$(B)
U+32621	𲘡	^⿴囗匆$(T)
U+32622	𲘢	^⿴囗先$(G)
U+32623	𲘣	^⿴囗𰁜$(G)
U+32624	𲘤	^⿴囗弄$(G)
U+32625	𲘥	^⿴囗芒$(B)
U+32626	𲘦	^⿴囗其$(B)
U+32627	𲘧	^⿴囗芶$(G)
U+32628	𲘨	^⿴囗峦$(B)
U+32629	𲘩	^⿴囗恋$(G)
U+3262A	𲘪	^⿴囗神$(B)
U+3262B	𲘫	^⿴囗量$(G)
U+3262C	𲘬	^⿴囗⿱罒面$(G)
U+3262D	𲘭	^⿴囗魯$(G)
U+3262E	𲘮	^⿱圓侖$(V)
U+3262F	𲘯	^⿱侖圓$(V)
U+32630	𲘰	^⿰土刂$(B)
U+32631	𲘱	^⿰土万$(G)
U+32632	𲘲	^⿰土与$(G)
U+32633	𲘳	^⿰土夕$(U)
U+32634	𲘴	^⿰土厄$(B)
U+32635	𲘵	^⿰土长$(B)
U+32636	𲘶	^⿱六土$(B)
U+32637	𲘷	^⿰土丑$(B)
U+32638	𲘸	^⿰土厈$(T)
U+32639	𲘹	^⿰土右$(T)
U+3263A	𲘺	^⿰土匝$(V)
U+3263B	𲘻	^⿰土鸟$(G)
U+3263C	𲘼	^⿱㐌土$(G)
U+3263D	𲘽	^⿰土代$(V)
U+3263E	𲘾	^⿱氾土$(B)
U+3263F	𲘿	^⿱𰃮土$(B)
U+32640	𲙀	^⿰土⿱乃土$(G)
U+32641	𲙁	^⿰土𢀖$(G)
U+32642	𲙂	^⿰土刑$(V)
U+32643	𲙃	^⿰土𦫼$(V)
U+32644	𲙄	^⿱甪土$(G)
U+32645	𲙅	^⿰土舌$(K)
U+32646	𲙆	^⿰土产$(G)
U+32647	𲙇	^⿱不地$(G)
U+32648	𲙈	^⿰土⿱𠂊⿱冖巾$(S)
U+32649	𲙉	^⿰土辰$(B)
U+3264A	𲙊	^⿰土囦$(B)
U+3264B	𲙋	^⿰土快$(G)
U+3264C	𲙌	^⿰土㐬$(K)
U+3264D	𲙍	^⿱地元$(B)
U+3264E	𲙎	^⿰土忍$(B)
U+3264F	𲙏	^⿰土斩$(G)
U+32650	𲙐	^⿱㚘土$(G)
U+32651	𲙑	^⿰土松$(G)
U+32652	𲙒	^⿰土奈$(GB)
U+32653	𲙓	^⿰圭丙$(B)
U+32654	𲙔	^⿰土取$(B)
U+32655	𲙕	^⿰土招$(V)
U+32656	𲙖	^⿰土黾$(G)
U+32657	𲙗	^⿱叔土$(G)
U+32658	𲙘	^⿰土㝵$(K)
U+32659	𲙙	^⿰土⿱口且$(T)
U+3265A	𲙚	^⿱和土$(G)
U+3265B	𲙛	^⿱例土$(B)
U+3265C	𲙜	^⿰土彼$(V)
U+3265D	𲙝	^⿰土府$(G)
U+3265E	𲙞	^⿰土这$(G)
U+3265F	𲙟	^⿰土贲$(GB)
U+32660	𲙠	^⿰土奎$(TK)
U+32661	𲙡	^⿰土亟$(K)
U+32662	𲙢	^⿰土贵$(G)
U+32663	𲙣	^⿰土品$(G)
U+32664	𲙤	^⿰土显$(G)
U+32665	𲙥	^⿰土星$(T)
U+32666	𲙦	^⿱独土$(G)
U+32667	𲙧	^⿰土秋$(B)
U+32668	𲙨	^⿰土鳬$(B)
U+32669	𲙩	^⿱洛土$(G)
U+3266A	𲙪	^⿰土客$(V)
U+3266B	𲙫	^⿰土晉$(TB)
U+3266C	𲙬	^⿰土峯$(T)
U+3266D	𲙭	^⿰坐𠂢$(B)
U+3266E	𲙮	^⿰土針$(V)
U+3266F	𲙯	^⿰土窊$(G)
U+32670	𲙰	^⿲土关月$(T)
U+32671	𲙱	^⿰土⿺廴隶$(T)
U+32672	𲙲	^⿰土教$(G)
U+32673	𲙳	^⿰土⿸圧回$(S)
U+32674	𲙴	^⿰土婴$(G)
U+32675	𲙵	^⿰土⿱山⿰歹攵$(S)
U+32676	𲙶	^⿱⿰虫矛土$(T)
U+32677	𲙷	^⿰土⿱罒缶$(B)
U+32678	𲙸	^⿰土貫$(B)
U+32679	𲙹	^⿱敘土$(K)
U+3267A	𲙺	^⿰土動$(B)
U+3267B	𲙻	^⿰土宽$(G)
U+3267C	𲙼	^⿱断土$(G)
U+3267D	𲙽	^⿰土旋$(B)
U+3267E	𲙾	^⿰土𱷥$(V)
U+3267F	𲙿	^⿰土眷$(V)
U+32680	𲚀	^⿱𨺒土$(T)
U+32681	𲚁	^⿰土陷$(V)
U+32682	𲚂	^⿰土⿷匸晏$(T)
U+32683	𲚃	^⿰土都$(B)
U+32684	𲚄	^⿰土棧$(V)
U+32685	𲚅	^⿰土敞$(K)
U+32686	𲚆	^⿰土圍$(B)
U+32687	𲚇	^⿰土閒$(B)
U+32688	𲚈	^⿰土鲁$(G)
U+32689	𲚉	^⿰土富$(B)
U+3268A	𲚊	^⿰土董$(G)
U+3268B	𲚋	^⿰土𠪩$(S)
U+3268C	𲚌	^⿱豤土$(S)
U+3268D	𲚍	^⿰土厪$(B)
U+3268E	𲚎	^⿰南坐$(V)
U+3268F	𲚏	^⿰土觜$(B)
U+32690	𲚐	^⿰土雋$(K)
U+32691	𲚑	^⿰奚圭$(T)
U+32692	𲚒	^⿰土粤$(B)
U+32693	𲚓	^⿱源土$(K)
U+32694	𲚔	^⿰土肅$(B)
U+32695	𲚕	^⿰土奪$(G)
U+32696	𲚖	^⿱穀土$(K)
U+32697	𲚗	^⿰土碧$(V)
U+32698	𲚘	^⿰土管$(G)
U+32699	𲚙	^⿰土𥯎$(V)
U+3269A	𲚚	^⿰土廖$(G)
U+3269B	𲚛	^⿱⿰氵戚土$(T)
U+3269C	𲚜	^⿱𤡜土$(S)
U+3269D	𲚝	^⿱鋪土$(T)
U+3269E	𲚞	^⿰土嶴$(B)
U+3269F	𲚟	^⿰土燕$(T)
U+326A0	𲚠	^⿱䠔土$(T)
U+326A1	𲚡	^⿰土頺$(V)
U+326A2	𲚢	^⿱⿰害各土$(S)
U+326A3	𲚣	^⿰褱土$(S)
U+326A4	𲚤	^⿰土壁$(V)
U+326A5	𲚥	^⿰坐嵬$(V)
U+326A6	𲚦	^⿰土營$(T)
U+326A7	𲚧	^⿰土蹇$(B)
U+326A8	𲚨	^⿱繞土$(V)
U+326A9	𲚩	^⿱羅土$(B)
U+326AA	𲚪	^⿰土簷$(V)
U+326AB	𲚫	^⿰土競$(B)
U+326AC	𲚬	^⿱刻士$(B)
U+326AD	𲚭	^⿰壽歲$(K)
U+326AE	𲚮	^⿰夌吝$(V)
U+326AF	𲚯	^⿹⺄⿺𠃊夕$(B)
U+326B0	𲚰	^⿱夕亏$(V)
U+326B1	𲚱	^⿱䒑夕$(V)
U+326B2	𲚲	^⿰夕巴$(S)
U+326B3	𲚳	^⿱𡗗夕$(T)
U+326B4	𲚴	^⿰多才$(G)
U+326B5	𲚵	^⿰多巴$(G)
U+326B6	𲚶	^⿰多匝$(G)
U+326B7	𲚷	^⿰多有$(T)
U+326B8	𲚸	^⿱甚多$(V)
U+326B9	𲚹	^⿰多思$(G)
U+326BA	𲚺	^⿰多禀$(V)
U+326BB	𲚻	^⿰多險$(V)
U+326BC	𲚼	^⿱夫𠃍$(K)
U+326BD	𲚽	^⿱大日$(G)
U+326BE	𲚾	^⿱⿵大一日$(G)
U+326BF	𲚿	^⿱天本$(B)
U+326C0	𲛀	^⿱大肉$(G)
U+326C1	𲛁	^⿱大亨$(B)
U+326C2	𲛂	^⿱枝大$(T)
U+326C3	𲛃	^⿰夹业$(B)
U+326C4	𲛄	^⿱大待$(V)
U+326C5	𲛅	^⿰哥大$(V)
U+326C6	𲛆	^⿰夷每$(V)
U+326C7	𲛇	^⿱從大$(T)
U+326C8	𲛈	^⿰奇𱺵$(V)
U+326C9	𲛉	^⿱𦥯大$(T)
U+326CA	𲛊	^⿰女充$(T)
U+326CB	𲛋	^⿱打女$(B)
U+326CC	𲛌	^⿰女另$(B)
U+326CD	𲛍	^⿰女⿱小又$(T)
U+326CE	𲛎	^⿰女邪$(B)
U+326CF	𲛏	^⿰女助$(G)
U+326D0	𲛐	^⿰忍女$(V)
U+326D1	𲛑	^⿱⿰巴三女$(V)
U+326D2	𲛒	^⿰女戔$(T)
U+326D3	𲛓	^⿰女⿱口且$(T)
U+326D4	𲛔	^⿱尚女$(B)
U+326D5	𲛕	^⿰女𭁈$(V)
U+326D6	𲛖	^⿰女受$(T)
U+326D7	𲛗	^⿰女乖$(T)
U+326D8	𲛘	^⿰女泥$(T)
U+326D9	𲛙	^⿰女房$(T)
U+326DA	𲛚	^⿱奴会$(G)
U+326DB	𲛛	^⿰女屈$(B)
U+326DC	𲛜	^⿰女亟$(T)
U+326DD	𲛝	^⿰女厘$(T)
U+326DE	𲛞	^⿰女⿸虍㐄$(T)
U+326DF	𲛟	^⿰女客$(G)
U+326E0	𲛠	^⿰女宦$(T)
U+326E1	𲛡	^⿰女举$(B)
U+326E2	𲛢	^⿰女⿱医女$(B)
U+326E3	𲛣	^⿱䀠女$(T)
U+326E4	𲛤	^⿰女卿$(T)
U+326E5	𲛥	^⿰女畝$(B)
U+326E6	𲛦	^⿱次妑$(V)
U+326E7	𲛧	^⿱能女$(B)
U+326E8	𲛨	^⿰女娶$(T)
U+326E9	𲛩	^⿰女硏$(T)
U+326EA	𲛪	^⿰女頃$(B)
U+326EB	𲛫	^⿰女𮏄$(T)
U+326EC	𲛬	^⿰女問$(T)
U+326ED	𲛭	^⿰女淑$(T)
U+326EE	𲛮	^⿱⿰未成女$(T)
U+326EF	𲛯	^⿰女𡺋$(S)
U+326F0	𲛰	^⿰女悲$(G)
U+326F1	𲛱	^⿰女⿱臤示$(T)
U+326F2	𲛲	^⿰女閝$(T)
U+326F3	𲛳	^⿰女𡕱$(T)
U+326F4	𲛴	^⿱債女$(V)
U+326F5	𲛵	^⿰女辟$(G)
U+326F6	𲛶	^⿰女閩$(T)
U+326F7	𲛷	^⿰女熹$(T)
U+326F8	𲛸	^⿰女蕃$(T)
U+326F9	𲛹	^⿰每媒$(V)
U+326FA	𲛺	^⿰女磨$(G)
U+326FB	𲛻	^⿱⿲男男男女$(B)
U+326FC	𲛼	^⿰子乃$(G)
U+326FD	𲛽	^⿰子𪟽$(V)
U+326FE	𲛾	^⿰子𠂢$(T)
U+326FF	𲛿	^⿰子男$(V)
U+32700	𲜀	^⿰子孟$(B)
U+32701	𲜁	^⿰子宫$(G)
U+32702	𲜂	^⿰存昆$(V)
U+32703	𲜃	^⿰孚甫$(V)
U+32704	𲜄	^⿰孚使$(V)
U+32705	𲜅	^⿰子粦$(G)
U+32706	𲜆	^⿰孤兒$(V)
U+32707	𲜇	^⿰孤屈$(V)
U+32708	𲜈	^⿰子蜚$(GUB)
U+32709	𲜉	^⿱宀才$(G)
U+3270A	𲜊	^⿱宀彡$(B)
U+3270B	𲜋	^⿱宀户$(G)
U+3270C	𲜌	^⿱宀央$(T)
U+3270D	𲜍	^⿱宀⿻干艹$(S)
U+3270E	𲜎	^⿰宁宁$(V)
U+3270F	𲜏	^⿳宀毋心$(S)
U+32710	𲜐	^⿱宀咸$(T)
U+32711	𲜑	^⿰守字$(V)
U+32712	𲜒	^⿰宗内$(V)
U+32713	𲜓	^⿰守守$(V)
U+32714	𲜔	^⿱宀总$(G)
U+32715	𲜕	^⿱宀衄$(V)
U+32716	𲜖	^⿱宀晤$(B)
U+32717	𲜗	^⿱宀悤$(T)
U+32718	𲜘	^⿱宀鹿$(G)
U+32719	𲜙	^⿰宜芽$(G)
U+3271A	𲜚	^⿰宜宜$(B)
U+3271B	𲜛	^⿰害利$(T)
U+3271C	𲜜	^⿱宀鴦$(T)
U+3271D	𲜝	^⿱宀⿰牙磊$(V)
U+3271E	𲜞	^⿰弄寬$(V)
U+3271F	𲜟	^⿰翥容$(V)
U+32720	𲜠	^⿱罒寸$(S)
U+32721	𲜡	^⿱宀㝴$(T)
U+32722	𲜢	^⿳𰀉一吋$(T)
U+32723	𲜣	^⿰首寸$(S)
U+32724	𲜤	^⿰⿱爫豆寸$(T)
U+32725	𲜥	^⿱⿰𠕻長寸$(T)
U+32726	𲜦	^⿰尋未$(U)
U+32727	𲜧	^⿰寺厨$(V)
U+32728	𲜨	^⿺巴少$(V)
U+32729	𲜩	^⿰至少$(T)
U+3272A	𲜪	^⿰小折$(V)
U+3272B	𲜫	^⿱拙小$(V)
U+3272C	𲜬	^⿱小⿰扌⿻冘二$(V)
U+3272D	𲜭	^⿱少拙$(V)
U+3272E	𲜮	^⿰卒少$(V)
U+3272F	𲜯	^⿱幻京$(B)
U+32730	𲜰	^⿱閉小$(V)
U+32731	𲜱	^⿰尔悲$(V)
U+32732	𲜲	^⿸尸乙$(S)
U+32733	𲜳	^⿸尸元$(B)
U+32734	𲜴	^⿱尺三$(T)
U+32735	𲜵	^⿸尸可$(B)
U+32736	𲜶	^⿸尸弗$(B)
U+32737	𲜷	^⿸尸充$(S)
U+32738	𲜸	^⿸尸⿱⿱丷八毛$(S)
U+32739	𲜹	^⿰屈亡$(V)
U+3273A	𲜺	^⿺尾石$(T)
U+3273B	𲜻	^⿰尸扁$(B)
U+3273C	𲜼	^⿸尸⿱氺𠂕$(S)
U+3273D	𲜽	^⿱剛尺$(V)
U+3273E	𲜾	^⿸尸盖$(B)
U+3273F	𲜿	^⿸尸⿱皮肉$(B)
U+32740	𲝀	^⿱居於$(V)
U+32741	𲝁	^⿱堆尾$(V)
U+32742	𲝂	^⿰尽會$(V)
U+32743	𲝃	^⿱山八$(B)
U+32744	𲝄	^⿰山亏$(G)
U+32745	𲝅	^⿱山仄$(B)
U+32746	𲝆	^⿰山不$(B)
U+32747	𲝇	^⿱山龰$(B)
U+32748	𲝈	^⿰山仓$(G)
U+32749	𲝉	^⿱山壬$(B)
U+3274A	𲝊	^⿰山号$(G)
U+3274B	𲝋	^⿰山瓜$(G)
U+3274C	𲝌	^⿱山册$(B)
U+3274D	𲝍	^⿱白山$(B)
U+3274E	𲝎	^⿱山永$(G)
U+3274F	𲝏	^⿰山庂$(U)
U+32750	𲝐	^⿱山皮$(B)
U+32751	𲝑	^⿱山旨$(T)
U+32752	𲝒	^⿰山耳$(B)
U+32753	𲝓	^⿱山地$(B)
U+32754	𲝔	^⿱刑山$(B)
U+32755	𲝕	^⿱山光$(GB)
U+32756	𲝖	^⿰山尖$(T)
U+32757	𲝗	^⿱山任$(B)
U+32758	𲝘	^⿱山伏$(B)
U+32759	𲝙	^⿱山仰$(V)
U+3275A	𲝚	^⿱好山$(G)
U+3275B	𲝛	^⿰山赤$(U)
U+3275C	𲝜	^⿱山劬$(V)
U+3275D	𲝝	^⿰山甬$(B)
U+3275E	𲝞	^⿱山阮$(V)
U+3275F	𲝟	^⿱山妻$(S)
U+32760	𲝠	^⿱山枉$(B)
U+32761	𲝡	^⿱山長$(B)
U+32762	𲝢	^⿰山奔$(V)
U+32763	𲝣	^⿱山招$(V)
U+32764	𲝤	^⿱山枕$(V)
U+32765	𲝥	^⿱山罔$(GB)
U+32766	𲝦	^⿰山昂$(T)
U+32767	𲝧	^⿱山忽$(B)
U+32768	𲝨	^⿰山底$(G)
U+32769	𲝩	^⿰山炎$(G)
U+3276A	𲝪	^⿱⿰方方山$(B)
U+3276B	𲝫	^⿰山定$(U)
U+3276C	𲝬	^⿱山阿$(B)
U+3276D	𲝭	^⿰岩五$(V)
U+3276E	𲝮	^⿱山若$(B)
U+3276F	𲝯	^⿱屾屾$(B)
U+32770	𲝰	^⿰山負$(T)
U+32771	𲝱	^⿱山限$(B)
U+32772	𲝲	^⿱山癸$(B)
U+32773	𲝳	^⿱山桂$(B)
U+32774	𲝴	^⿱山秦$(B)
U+32775	𲝵	^⿰山宫$(B)
U+32776	𲝶	^⿰山勘$(K)
U+32777	𲝷	^⿰山崙$(T)
U+32778	𲝸	^⿱山異$(B)
U+32779	𲝹	^⿱山曼$(B)
U+3277A	𲝺	^⿰山異$(B)
U+3277B	𲝻	^⿰山兜$(B)
U+3277C	𲝼	^⿰山祭$(B)
U+3277D	𲝽	^⿱山條$(V)
U+3277E	𲝾	^⿱山瓶$(T)
U+3277F	𲝿	^⿱山粒$(V)
U+32780	𲞀	^⿱山陰$(B)
U+32781	𲞁	^⿰山雲$(B)
U+32782	𲞂	^⿰山越$(V)
U+32783	𲞃	^⿰崽才$(G)
U+32784	𲞄	^⿰山掌$(B)
U+32785	𲞅	^⿰山絜$(K)
U+32786	𲞆	^⿱山登$(T)
U+32787	𲞇	^⿱山塤$(T)
U+32788	𲞈	^⿰山禁$(B)
U+32789	𲞉	^⿰山粲$(B)
U+3278A	𲞊	^⿰山筮$(B)
U+3278B	𲞋	^⿰山遂$(B)
U+3278C	𲞌	^⿰山蓉$(T)
U+3278D	𲞍	^⿱山槃$(K)
U+3278E	𲞎	^⿰山夐$(T)
U+3278F	𲞏	^⿱齊山$(K)
U+32790	𲞐	^⿱磊山$(B)
U+32791	𲞑	^⿱山徵$(T)
U+32792	𲞒	^⿱山衝$(T)
U+32793	𲞓	^⿰山瑩$(T)
U+32794	𲞔	^⿱山調$(V)
U+32795	𲞕	^⿱山層$(B)
U+32796	𲞖	^⿱山隤$(B)
U+32797	𲞗	^⿰山鬳$(B)
U+32798	𲞘	^⿰山興$(T)
U+32799	𲞙	^⿱山興$(T)
U+3279A	𲞚	^⿰山麗$(B)
U+3279B	𲞛	^⿰川矣$(B)
U+3279C	𲞜	^⿰𭗾宁$(S)
U+3279D	𲞝	^⿱从工$(B)
U+3279E	𲞞	^⿰左才$(G)
U+3279F	𲞟	^⿱工白$(G)
U+327A0	𲞠	^⿰工空$(G)
U+327A1	𲞡	^⿱巨吝$(V)
U+327A2	𲞢	^⿰夌巨$(V)
U+327A3	𲞣	^⿱巨油$(V)
U+327A4	𲞤	^⿰苔巨$(V)
U+327A5	𲞥	^⿱巨拜$(V)
U+327A6	𲞦	^⿱巨執$(V)
U+327A7	𲞧	^⿰工署$(V)
U+327A8	𲞨	^⿱巴低$(V)
U+327A9	𲞩	^⿱巴⿰巴巴$(B)
U+327AA	𲞪	^⿰巴為$(V)
U+327AB	𲞫	^⿱巴蓝$(V)
U+327AC	𲞬	^⿰改寄$(V)
U+327AD	𲞭	^⿰巾元$(T)
U+327AE	𲞮	^⿰巾色$(G)
U+327AF	𲞯	^⿰巾金$(G)
U+327B0	𲞰	^⿰巾欣$(V)
U+327B1	𲞱	^⿰布尾$(V)
U+327B2	𲞲	^⿰巾复$(G)
U+327B3	𲞳	^⿱待巾$(V)
U+327B4	𲞴	^⿰巾馬$(S)
U+327B5	𲞵	^⿰巾兜$(B)
U+327B6	𲞶	^⿱務巾$(T)
U+327B7	𲞷	^⿰巾𦋐$(T)
U+327B8	𲞸	^⿰巾雇$(B)
U+327B9	𲞹	^⿱丶平$(S)
U+327BA	𲞺	^⿰干开$(G)
U+327BB	𲞻	^⿰干艮$(G)
U+327BC	𲞼	^⿰并尾$(V)
U+327BD	𲞽	^⿰平朋$(V)
U+327BE	𲞾	^⿰幺律$(T)
U+327BF	𲞿	^⿰𱥯幾$(V)
U+327C0	𲟀	^⿸广夫$(G)
U+327C1	𲟁	^⿸广廿$(GS)
U+327C2	𲟂	^⿸广卬$(T)
U+327C3	𲟃	^⿸广未$(G)
U+327C4	𲟄	^⿸广古$(S)
U+327C5	𲟅	^⿸广邑$(TB)
U+327C6	𲟆	^⿸广辛$(B)
U+327C7	𲟇	^⿸广季$(S)
U+327C8	𲟈	^⿸广屋$(V)
U+327C9	𲟉	^⿸广𤲅$(T)
U+327CA	𲟊	^⿸广悘$(B)
U+327CB	𲟋	^⿸广⿱火貝$(T)
U+327CC	𲟌	^⿸广⿱央貝$(T)
U+327CD	𲟍	^⿰应羌$(G)
U+327CE	𲟎	^⿰庄真$(V)
U+327CF	𲟏	^⿸广⿱殸夂$(V)
U+327D0	𲟐	^⿸广𫲲$(T)
U+327D1	𲟑	^⿸广䢉$(S)
U+327D2	𲟒	^⿰廛園$(V)
U+327D3	𲟓	^⿺廴月$(B)
U+327D4	𲟔	^⿺廴區$(V)
U+327D5	𲟕	^⿺廴萑$(T)
U+327D6	𲟖	^⿺廴𣕃$(T)
U+327D7	𲟗	^⿱玨廾$(T)
U+327D8	𲟘	^⿰弓凢$(V)
U+327D9	𲟙	^⿰弯可$(G)
U+327DA	𲟚	^⿰亘強$(V)
U+327DB	𲟛	^⿰寻未$(B)
U+327DC	𲟜	^⿰灵京$(V)
U+327DD	𲟝	^⿰𰃦彡$(T)
U+327DE	𲟞	^⿰悲彡$(V)
U+327DF	𲟟	^⿰鬳彡$(K)
U+327E0	𲟠	^⿰彳乇$(S)
U+327E1	𲟡	^⿰彳云$(T)
U+327E2	𲟢	^⿰彳用$(G)
U+327E3	𲟣	^⿰彳并$(G)
U+327E4	𲟤	^⿰彳咅$(V)
U+327E5	𲟥	^⿰彳待$(S)
U+327E6	𲟦	^⿰彳𰙩$(B)
U+327E7	𲟧	^⿰彳鹿$(G)
U+327E8	𲟨	^⿰彳悲$(V)
U+327E9	𲟩	^⿰彳費$(V)
U+327EA	𲟪	^⿰彳⿱十𭾱$(T)
U+327EB	𲟫	^⿰㣫欠$(T)
U+327EC	𲟬	^⿱彼其$(V)
U+327ED	𲟭	^⿰彳厭$(S)
U+327EE	𲟮	^⿰彳鄭$(T)
U+327EF	𲟯	^⿲彳⿳云𭕄𠕎攵$(S)
U+327F0	𲟰	^⿱得特$(V)
U+327F1	𲟱	^⿰忄井$(T)
U+327F2	𲟲	^⿱毛心$(T)
U+327F3	𲟳	^⿰忄火$(G)
U+327F4	𲟴	^⿱引心$(V)
U+327F5	𲟵	^⿱灭心$(G)
U+327F6	𲟶	^⿰忄史$(G)
U+327F7	𲟷	^⿰忄仔$(T)
U+327F8	𲟸	^⿱存心$(T)
U+327F9	𲟹	^⿰忄而$(B)
U+327FA	𲟺	^⿱朱心$(T)
U+327FB	𲟻	^⿱先心$(GT)
U+327FC	𲟼	^⿰忄仰$(V)
U+327FD	𲟽	^⿱血心$(G)
U+327FE	𲟾	^⿰忄字$(B)
U+327FF	𲟿	^⿱论心$(B)
U+32800	𲠀	^⿱她心$(U)
U+32801	𲠁	^⿱别心$(G)
U+32802	𲠂	^⿰忄吟$(V)
U+32803	𲠃	^⿱我心$(B)
U+32804	𲠄	^⿰忄你$(V)
U+32805	𲠅	^⿰忄汪$(G)
U+32806	𲠆	^⿰忄岸$(V)
U+32807	𲠇	^⿱朋心$(G)
U+32808	𲠈	^⿰忄帛$(T)
U+32809	𲠉	^⿰忄岳$(V)
U+3280A	𲠊	^⿱𢼄心$(K)
U+3280B	𲠋	^⿱宀㤐$(T)
U+3280C	𲠌	^⿱油心$(V)
U+3280D	𲠍	^⿱妳心$(TB)
U+3280E	𲠎	^⿰忄垕$(K)
U+3280F	𲠏	^⿺及急$(V)
U+32810	𲠐	^⿰急及$(V)
U+32811	𲠑	^⿰忄勉$(V)
U+32812	𲠒	^⿱⿰𦍍反心$(T)
U+32813	𲠓	^⿰忄屋$(T)
U+32814	𲠔	^⿰忄费$(B)
U+32815	𲠕	^⿱欯心$(T)
U+32816	𲠖	^⿱杜忌$(V)
U+32817	𲠗	^⿰乌恶$(B)
